A : (1024,1024):{nnz:10,sparsity=0.000954%}
CSR2CSC_ALG1,0.113778,10.70%,4.60%,4.55%
CSR2CSC_ALG2,0.088519,9.90%,5.14%,4.88%
SpMV_COO,0.021163,6.45%,8.06%,4.19%
SpMV_CSR,0.027079,17.23%,5.46%,6.58%
SpMV_CSC,0.027989,31.71%,4.88%,12.00%
CSR_SPMM,0.074297,3.37%,2.14%,1.96%
COO_SPMM,0.038343,4.15%,1.19%,1.94%
SpGEMM,0.234837,9.88%,2.76%,3.94%
A : (1024,1024):{nnz:335,sparsity=0.031948%}
COO2CSR,0.015588,11.68%,1.46%,4.38%
CSR2COO,0.050517,1.35%,0.68%,1.01%
CSR2CSC_ALG1,0.115484,2.86%,1.58%,1.46%
CSR2CSC_ALG2,0.089543,1.78%,2.80%,1.29%
SpMV_COO,0.023438,26.70%,3.88%,10.12%
SpMV_CSR,0.027648,3.70%,3.70%,1.85%
SpMV_CSC,0.028444,0.80%,2.80%,1.59%
CSR_SPMM,0.062578,24.36%,5.09%,9.20%
COO_SPMM,0.037888,2.70%,2.70%,2.34%
SpGEMM,0.237454,5.65%,4.70%,3.86%
A : (1024,1024):{nnz:671,sparsity=0.063992%}
COO2CSR,0.017522,5.19%,12.34%,6.16%
CSR2COO,0.036864,22.22%,5.56%,8.45%
CSR2CSC_ALG1,0.121060,5.73%,1.88%,2.42%
CSR2CSC_ALG2,0.093412,3.05%,3.53%,2.03%
SpMV_COO,0.021959,7.25%,6.74%,5.76%
SpMV_CSR,0.029241,15.56%,8.95%,6.58%
SpMV_CSC,0.029127,1.95%,1.56%,1.85%
CSR_SPMM,0.054158,2.10%,1.68%,1.75%
COO_SPMM,0.040164,4.53%,3.12%,2.12%
SpGEMM,0.256000,10.40%,2.80%,4.06%
A : (1024,1024):{nnz:1341,sparsity=0.127888%}
COO2CSR,0.015815,10.07%,9.35%,5.71%
CSR2COO,0.023780,3.35%,0.96%,1.90%
CSR2CSC_ALG1,0.117760,1.74%,5.22%,2.09%
